id,nom,email,logo
01,Aïre-Le Lignon,airelelignon@gym.com,logo_01.png
02,Bernex-Confignon,bernexconfignon@gym.com,logo_02.png
03,Carouge,carouge@gym.com,logo_03.png
04,Chêne Gym Genève,chenegymgeneve@gym.com,logo_04.png
05,Collonge-Bellerive,collongebellerive@gym.com,logo_05.png
06,Eaux-vives,eauxvives@gym.com,logo_06.jpg
07,Genève-Grottes,genevegrottes@gym.com,logo_07.png
08,Lancy,lancy@gym.com,logo_08.png
09,Mandement,mandement@gym.com,logo_09.png
10,Onex Club GO,onexclubgo@gym.com,logo_10.jpg
11,Perly-Certoux,perlycertoux@gym.com,logo_11.png
12,Pregny-Chambésy,pregnychambesy@gym.com,logo_12.jpg
13,Versoix,versoix@gym.com,logo_13.jpg
14,Veyrier,veyrier@gym.com,logo_14.png
